version 2020-09-28			
Data_field	Code	Beskrivning/Svensk översättning	Description/English translate
ICEOB	4	Väldigt öppen eller öppen packis (6/10 täckning eller mindre) mer än 1 nautisk mil från hydrografisk station	Very open or open packice (6/10 cover or less) more than 1 nautical mile frome hydrografic station
ICEOB	5	Stängd eller väldigt stängd packis (mer än 6/10 täckning) mer än 1 nautisk mil från hydrogafisk station	Closed or very closed packice (more than 6/10 cover) more than 1 nautical mile frome hydrografic station
ICEOB	6	"Väldigt öppen eller öppen packis (6/10 täckning eller mindre); hydrografisk observation i packis eller mindre än 1 nautisk mil bort från packis. "	Very open or open packice (6/10 cover or less) less than 1 nautical mile frome hydrografic station
ICEOB	7	"Stängd eller väldigt stängd packis (mer än 6/10 täckning); hydrografisk observation i packis eller mindre än 1 nautisk mil bort från packis. "	Closed or very closed packice (more than 6/10 cover) less than 1 nautical mile frome hydrografic station
ICEOB	8	Hydrografisk observation i väldigt hög koncentration av packis, polaris eller fastis, etc. (Observationer utförda från isöar, drivande is, isomgärdad fartyg, fastis eller liknande förhållande.	Hydrografic observation in very high concentration of packice, polarice or thick ice (Observations done from islands of ice, drift ice, ship surrounded by ice or simmilar  situations.
ICEOB	9	Inga observationer av is (P.g.a begränsad sikt eller is ej ingår som observerad parameter eller annan orsak) 	No observations of ice (because of limited visability or that ice is not a parameter for observation)
LABO	SLKS	AB Svensk Laboratoriet	AB Svensk Laboratoriet
LABO	ABB	ABB	ABB
LABO	AIRI	Airicole AB	Airicole AB
LABO	APNN	Akvaplan-NIVA A/S	Akvaplan NIVA group
LABO	ALCON	Alcontrol AB	Alcontrol laboratories
LABO	ALLECO	Alleco Oy	ALLECO Oy (Finland)
LABO	ALSSCA	ALS Scandinavia	ALS Scandinavia
LABO	ANALYC	Analycen AB	Analycen AB
LABO	ANBF	ANSAB	ANSAB
LABO	AQUAAN	Aquaanalys	Aquaanalys
LABO	AQBI	AquaBiota	AquaBiota Water Research
LABO	ASUK	Aquatic Systems Group	Aquatic Systems Group
LABO	ADB	Artdatabanken	Swedish Species Information Centre
LABO	BALSEA2020	BalticSea2020	BalticSea2020
LABO	BILKBG	Billerud Karlsborg AB	Billerud Karlsborg AB
LABO	BKVF	Blekingekustens vattenvårdsförbund	Blekingekusten Coalition of Water Conservation
LABO	BVVF	Bohuskustens vattenvårdsförbund	Bohuskusten Coalition of Water Conservation
LABO	BOLIDEN	Boliden Group	Boliden Group
LABO	BHMKOM	Borgholms kommun	Borgholm Municipality
LABO	CALLUN	Calluna AB	Calluna AB
LABO	CASPOL	Castor & Pollux	Castor & Pollux
LABO	DVVF	Dalälvens vattenvårdsförbund	Dalälven Coalition of Water Conservation
LABO	DMU	Danish Centre for Environment and Energy	Danish Centre for Environment and Energy
LABO	DHI	Danska Hydrauliska Institutet	Danish hydraulic institute
LABO	DOMFAB	Domsjö fabriker AB	Domsjö fabriker AB
LABO	EDSVVS	Edsviken vattensamverkan	Edsviken watercollaboration
LABO	EKOGRP	Ekologigruppen AB	Ekologigruppen AB
LABO	AWUK	Environment Agency	Environment Agency
LABO	SWUK	Environment Agency Southern	Environment Agency Southern
LABO	ENVIX	Envix Nord AB	Envix Nord AB
LABO	IMRE	Estonian Marine Institute	Estonian Marine Institute
LABO	EUKOM	EU-kommissionen Horizon 2020	European Commission Horizon 2020
LABO	EFAR	Eurofins Ahma Rovaniemi	Eurofins Ahma Rovaniemi
LABO	EFDK	Eurofins Danmark A/S	Eurofins Danmark A/S
LABO	EFSW	Eurofins Environment Sweden AB	Eurofins Environment Sweden AB
LABO	EUPE	Eurofins-Pelagia	Eurofins-Pelagia
LABO	LIFE	Europeiska kommisionen LIFE programmet	European comission LIFE programme
LABO	FALMA	Falma Provtagning	Falma Sampling
LABO	SYKE	Finlands miljöcentral	Finnish Environment Institute
LABO	FIV	Fiskeriverket	Swedish National Board of Fisheries
LABO	FIVHL	Fiskeriverket Havsfiskelaboratoriet	Swedish National Board of Fisheries
LABO	FIVKL	Fiskeriverket Kustfiskelaboratoriet	Swedish National Board of Fisheries
LABO	SFIP	FITO-Lab	FITO-Lab
LABO	FORS	Forsmarks kraftgrupp AB	Forsmarks kraftgrupp AB
LABO	NENNINGE	Föreningen Nenningesund	Nenningesund association
LABO	GVVF	Gästriklands vattenvårdsförbund	Gästrikland Coalition of Water Conservation
LABO	GBGKOM	Göteborgs Stad	Gothenburg Municipality
LABO	GU	Göteborgs universitet	University of Gothenburg
LABO	HAFOK	Hafok AB	Hafok AB
LABO	HANKOM	Haninge kommun	Haninge Municipality
LABO	HAV	Havs- och vattenmyndigheten	Swedish Agency for Marine and Water Management
LABO	IMRF	Havsforskningsinstitutet Finland	Finnish Institute of Marine Research
LABO	HBGMILJO	Helsingsborgs miljöförvaltning	Helsingborg environmental management
LABO	HILMAR	Hillevik marina fältstation	Hillevik Marine Field Station
LABO	HOLMPAP	Holmen Paper	Holmen Paper
LABO	HUSH	Hushållningssällskapet	Swedish Rural Economy and Agricultural Societies 
LABO	HYDCON	Hydroconsult AB	Hydroconsult AB
LABO	HYD	HydroGIS AB	HydroGIS AB
LABO	HKLIM	Höga kusten Limnologkonsult	Höga kusten Limnologkonsult
LABO	IFNHR	Intresseföreningen för Nordöstra Hälsinglands SRK	Committee of North Eastern Hälsingland Coordinated Recipient Monitoring
LABO	SERI	IVL Svenska Miljöinstitutet 	Swedish Environmental Research Institute
LABO	JPAQUA	JP Aquakonsult KB	JP Aquakonsult KB
LABO	JPSED	JP Sedimentkonsult HB	JP Sedimentkonsult HB
LABO	KLXKOM	Kalix kommun	Kalix Municipality
LABO	KALKOM	Kalmar kommun	Kalmar Municipality
LABO	KLKK	Kalmar läns kustvattenkommitté	Coastal Committee of Kalmar County
LABO	KARHAM	Karlshamns hamn AB	Karlshamns Port AB
LABO	KARKOM	Karlskrona kommun	Karlskrona Municipality
LABO	KMLB	KM Lab AB	KM Lab AB
LABO	KOLM	Kolmården	Kolmården
LABO	KRIKOM	Kristianstads kommun	Kristianstads Municipality
LABO	KVA	Kungliga Vetenskapsakademin	The Royal Swedish Academy of Sciense
LABO	KUFI	Kustfilm Nord AB	Kustfilm Nord AB
LABO	LAPF	Lapland Regional Environment Centre	Lapland Regional Environment Centre
LABO	LECA	LeCa Marin	LeCa Marin
LABO	LNU	Linnéuniversitetet	Linnaeus University
LABO	LITORALIS	Litoralis Natur AB	Litoralis Nature AB
LABO	SLV	Livsmedelsverket	National Food Agency
LABO	LVVVF	Ljusnan-Voxnans vattenvårdsförbund	Ljusnan-Voxnan Coalition of Water Conservation
LABO	LVFVF	Ljusterö vatten och fiskevårdsförening	Ljusterö Water and Fish Conservation Association
LABO	LUUN	Lunds Universitet	Lund University
LABO	LVLAB	LV-lab	LV-lab
LABO	KLST	Länsstyrelsen Blekinge	County Administrative Board of Blekinge
LABO	ILST	Länsstyrelsen Gotland	County Administrative Board of Gotland
LABO	XLST	Länsstyrelsen Gävleborg	County Administrative Board of Gävleborg
LABO	NLST	Länsstyrelsen Halland	County Administrative Board of Halland
LABO	HLST	Länsstyrelsen Kalmar	County Administrative Board of Kalmar
LABO	BDLST	Länsstyrelsen Norrbotten	County Administrative Board of Norrbotten
LABO	LST	Länsstyrelsen ospecificerad	County Administrative Board unspecified
LABO	MLST	Länsstyrelsen Skåne	County Administrative Board of Skåne
LABO	BLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm
LABO	ABLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm
LABO	DLST	Länsstyrelsen Södermanland	County Administrative Board of Södermanland
LABO	CLST	Länsstyrelsen Uppsala	County Administrative Board of Uppsala
LABO	ACLST	Länsstyrelsen Västerbotten	County Administrative Board of Västerbotten
LABO	YLST	Länsstyrelsen Västernorrland	County Administrative Board of Västernorrland
LABO	OLST	Länsstyrelsen Västra Götaland	County Administrative Board of Västra Götaland
LABO	ELST	Länsstyrelsen Östergötland	County Administrative Board of Östergotland
LABO	MTNS	Marietorps naturskola	Marietorps Environmental school
LABO	MARMIL	Marin Miljöanalys AB	Marin Miljöanalys AB
LABO	MMT	Marin Mätteknik	MMT
LABO	MARLAR	Marina läroverket i Stocksund	Marina läroverket i Stocksund
LABO	MMAB	Marine Monitoring AB	Marine Monitoring AB
LABO	MEANA	MeAna konsult Uppsala	MeAna konsult Uppsala
LABO	MEDINS	Medins Havs och Vattenkonsulter	MEDINS AB
LABO	METSA	Metsä Board Sverige AB	Metsa Board
LABO	MNMN	Miljö & Natur Mats Notini AB	Miljö & Natur Mats Notini AB
LABO	MILANO	Miljölaboratorierna i Norrland	Miljölaboratorierna i Norrland
LABO	MILUME	Miljölaboratorierna Umeå	Miljölaboratorierna Umeå
LABO	MSVVF	Motala Ströms vattenvårdsförbund	Motala ström Coalition of Water Conservation
LABO	MONKOM	Mönsterås kommun	Mönsterås Municipality
LABO	NACKAKOM	Nacka kommun	Nacka Municipality
LABO	NMFRI	National Marine Fisheries Research Institute (NMFRI)	National Marine Fisheries Research Institute (NMFRI)
LABO	NODC	Nationell datavärd Oceanografi	National Oceanographic Data Center
LABO	MNHS	Naturhistoriska riksmuseet	Swedish Museum of Natural History
LABO	NATVAT	Naturvatten i Roslagen AB	Naturvatten i Roslagen AB
LABO	SEPA	Naturvårdsverket	Swedish Environmental Protection Agency
LABO	LCRS	Naturvårdsverket Kustlaboratorium 	Swedish Environmental Protection Agency Laboratory for Coastal Research 
LABO	NWLS	Naturvårdsverket Vattenkvalitetslaboratorium	Swedish Environmental Protection Agency Water Quality Laboratory 
LABO	NIRAS	NIRAS Sweden AB	NIRAS Sweden AB
LABO	NACE	Nordisk Analyse Center	Nordisk Analyse Center
LABO	NORKOM	Nordmalings kommun	Nordmaling Municipality
LABO	NVSKK	Nordvästskånes kustvattenkommitté	Coastal Committee of Nordvästra skåne
LABO	NRKKOM	Norrköpings kommun	Norrköping Municipality
LABO	NORTENER	Norrtälje Energi	Norrtälje Energy
LABO	NORRKOM	Norrtälje kommun	Norrtälje Municipality
LABO	NYKOM	Nyköping kommun	Nyköping Municipality
LABO	NYNAKOM	Nynäshamn kommun	Nynäshamn Municipality
LABO	OSKKOM	Oskarshamns kommun	Oskarshamns Municipality
LABO	OKGAB	Oskarshamns Kraftgrupp AB	Oskarshamn Nuclear Power Plant
LABO	OXEN	Oxelö Energi	Oxelö Energy
LABO	OXHAMN	Oxelösund hamn	Oxelösund Harbor
LABO	PAG	PAG Miljöundersökningar	PAG Environmental Studies
LABO	PELA	Pelagia Miljökonsult AB	Pelagia Environmental consulting AB
LABO	PITKOM	Piteå kommun	Piteå Municipality
LABO	PITREV	Piteå Renhållning och Vatten AB 	Piteå Renhållning och Vatten AB 
LABO	RINGHALS	Ringhals AB kärnkraftverk	Ringhals nuclear power plant
LABO	ROBKOM	Robertsfors kommun	Robertsfors Municipality
LABO	SCAP	SCA Packaging	SCA Packaging
LABO	SPLITT	Schweden Splitt AB	Schweden Splitt AB
LABO	SERO	Sero A/S	Sero A/S
LABO	SKEKOM	Skellefteå kommun	Skellefteå Municipality
LABO	SKSJDA	Skog & Sjö i Dalarna	Skog & Sjö i Dalarna
LABO	SKKP	Smurfit Kappa Kraftliner AB	Smurfit Kappa Kraftliner AB
LABO	SOLLKOM	Sollentuna kommun	Sollentuna Municipality
LABO	SSAB	SSAB	SSAB
LABO	SVAB	Stockholm Vatten AB	Stockholm Vatten AB
LABO	STHS	Stockholms stad	The city of Stockholm
LABO	DEEP	Stockholms universitet	Stockholm University Department of Ecology Environment and Plant Sciences
LABO	SMRC	Stockholms universitets marina forskningscentrum	Stockholm University Marine Research Center
LABO	SVVF	Sundsvallsbuktens vattenvårdsförening	Sundsvallsbukten Coalition of Water Conservation
LABO	SKVVF	Svealands kustvattenvårdsförbund	Coastal Committee of Svealand
LABO	SWECO	SWECO	SWECO
LABO	SVELAB	Svelab Miljölaboratorier AB	Svelab Miljölaboratorier AB
LABO	SLCK	Sven Lovén centrum för marina vetenskaper-Kristineberg	The Sven Lovén Centre for Marine Sciences-Kristineberg
LABO	SLCT	Sven Lovén centrum för marina vetenskaper-Tjärnö	The Sven Lovén Centre for Marine Sciences-Tjärnö
LABO	SKB	Svensk Kärnbränslehantering AB	SKB – Swedish Nuclear Fuel and Waste Management Co
LABO	SEK	Svensk Ekologikonsult AB	Swedish Ecological Consultancy AB
LABO	SLU	Sveriges lantbruksuniversitet 	Swedish University of Agricultural Sciences
LABO	SLUA	Sveriges lantbruksuniversitet Institutionen för akvatiska resurser	Swedish University of Agricultural Sciences Department of Aquatic Resources
LABO	SLUHL	Sveriges lantbruksuniversitet - Havsfiskelaboratoriet	Swedish University of Agricultural Sciences - Marine fisheries laboratory
LABO	SMHI	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute
LABO	SVVAEK	Sveriges Vattenekologer AB	Sveriges Vattenekologer AB
LABO	SYDVVF	Sydkustens vattenvårdsförbund	Sydkusten Coalition of Water Conservation
LABO	SYNLAB	SYNLAB Analytics & Services Sweden AB	SYNLAB Analytics & Services Sweden AB
LABO	VARO	Södra Cell Värö massafabrik	Sodra Pulp Labs
LABO	SOLVKOM	Sölvesborgs kommun	Sölvesborgs Municipality
LABO	TOXICO	Toxicon AB	Toxicon AB
LABO	TRELKOM	Trelleborgs Kommun	Trelleborg Municipality
LABO	TYRENS	Tyréns AB	Tyréns AB
LABO	TASA	Tång och Sånt	Tång och Sånt
LABO	TABYKOM	Täby kommun	Täby Municipality
LABO	UVVVF	Ume- och Vindelälvens vattenvårdsförbund	Ume- and Vindelälven Coalition of Water Conservation
LABO	UMEKOM	Umeå kommun	Umeå Municipality
LABO	UMSC	Umeå Universitet	Umeå University
LABO	HGOT	Uppsala universitet Campus Gotland	Uppsala University Campus Gotland
LABO	ERKEN	Uppsala universitet Erkenlab	Uppsala University, Erken laboratory
LABO	WATERS	WATERS	WATERS
LABO	VAFALL	Vattenfall	Vattenfall
LABO	VARMKOM	Värmdö kommun	Värmdö Municipality
LABO	VLABMA	Vattenlaboratoriet Malmö	Waterlaboratory Malmö
LABO	VMBOT	Vattenmyndigheten i Bottenviken	Bothnian Bay Water District Authority
LABO	VHVVF	Vattenvårdsförbundet för västra Hanöbukten	Västra hanöbukten Coalition of Water Conservation
LABO	WEAQ	WEAQ AB	WEAQ AB
LABO	VEOLIA	Veolia	Veolia
LABO	WSP	WSP Environmental	WSP Environmental
LABO	VASKOM	Västerviks kommun	Västerviks Municipality
LABO	YOLDIA	Yoldia Environmental Consulting AB	Yoldia Environmental Consulting AB
LABO	ALFISK	Ålands Fiskförädling AB	Ålands fiskförädling
LABO	OVVF	Öresunds vattenvårdsförbund	Öresund Coalition of Water Conservation
LABO	OKONS	Öresundsbrokonsortiet	Øresundsbro Konsortiet
LABO	OSTKOM	Östhammars kommun	Östhammar Municipality
LABO	HALHAM	Halmnstad hamn AB	Halmnstad hamn AB
LABO	DANNF	Dannes Firma	Dannes firma
LABO	KUNGKOM	Kungsbacka kommun	Kungsbacka Municipality
LOMAC	1	1%	1%
LOMAC	5	5%	5%
LOMAC	10	10%	10%
LOMAC	25	25%	25%
LOMAC	50	50%	50%
LOMAC	75	75%	75%
LOMAC	100	100%	100%
LOMAC	A	Ej förekommande	Absent
LOMAC	P	Förekommande	Present
MATRX	AF	Havsvattenprov - Efter filtrering	Sea water sample - After filtration
MATRX	BF	Havsvattenprov - Före filtrering	Sea water sample - Before filtration
MATRX	S	Provet består av delar från kropp och inte hela kroppen	Sample consists of parts from body and not whole body
MATRX	SEDtot	Sediment - obehandlad total	Sediment - untreated total
MATRX	W	Provet består av hela kroppen	Sample consists of whole body
METCU	%	Procentuell osäkerhet	Percentage uncertainty
METCU	SD	Standard avvikelse (+/-)	Standard deviation (+/-)
METCU	U2	Utvidgad mätosäkerhet (U) med täckningsfaktor 2 (OSPAR riktlinje)	Expanded uncertainty (U) coverage factor 2 (OSPAR guideline)
METFP	ACD	Försurning	Acidification
METFP	ALU	Basisk lugol	Alkaline lugol
METFP	BOU	Bouin's fluid	Bouin's fluid
METFP	CHL	Chloroform (=trichloromethane)	Chloroform (=trichloromethane)
METFP	CLU	sur lugol	Acid lugol
METFP	DTR	Dietrick fixative (10% formaldehyde, 28.5% EtOH, 2% glacial acetic acid)	Dietrick fixative (10% formaldehyde, 28.5% EtOH, 2% glacial acetic acid)
METFP	ETH	Ethanol	Ethanol
METFP	ETHG	Etanol (95%) med Glycerol (till 90% etanol innehåll)	Ethanol (95%) with Glycerol (to 90% ethanol content)
METFP	F4B	Fomaldehye - 4% buffered formaldehyde (ph 7-8)	Fomaldehye - 4% buffered formaldehyde (ph 7-8)
METFP	FET	Formalin - neutral buffered formalin 10% + ethanol	Formalin - neutral buffered formalin 10% + ethanol
METFP	FOR	Formaldehyde	Formaldehyde
METFP	HCL	Acidification with HCL	Acidification with HCL
METFP	HNO	Acidification with HNO3	Acidification with HNO3
METFP	IMS	Industrial methylated spirits	Industrial methylated spirits
METFP	ISO	Isopropanol	Isopropanol
METFP	LUG	Neutral lugol	Neutral lugol
METFP	NBF	Formalin - neutral buffered formalin 10%	Formalin - neutral buffered formalin 10%
METFP	NON	Ingen fixeringsmetod använd eftersom det är levande prov	No fixation method used
METOA	AAS	Atomic Absorption Spectrometry	Atomic Absorption Spectrometry
METOA	CLC	Coulter counter	Coulter counter
METOA	CNA	Carbon/nitrogen analyser - CHN analyzer	Carbon/nitrogen analyser - CHN analyzer
METOA	CND	Conductometric analysis	Conductometric analysis
METOA	COL	Colourimetric methods	Colourimetric methods
METOA	DSV	Dry sieving	Dry sieving
METOA	FLM	Fluorometric determination	Fluorometric determination
METOA	GC-AED	Gas chromotography - atomic emission detection	Gas chromotography - atomic emission detection
METOA	GC-ECD	Gas chromotography - electron capture detector	Gas chromotography - electron capture detector
METOA	GC-EI	Gas chromotography - electron impact ionization	Gas chromotography - electron impact ionization
METOA	GC-FPD	GC- Flame photometric detector	GC- Flame photometric detector
METOA	GC-KAT	Gas chromotography - katharometer	Gas chromotography - katharometer
METOA	GC-MS	Gas chromotography - mass spectrometry	Gas chromotography - mass spectrometry
METOA	GC-MSD	Gas chromotography - mass selective detector	Gas chromotography - mass selective detector
METOA	GC-NCI	Gas chromotography - negative chemical ionization	Gas chromotography - negative chemical ionization
METOA	GC-PFPD	GC- Pulsed flame photometrc detector	GC- Pulsed flame photometrc detector
METOA	GRS	Gross examination	Gross examination
METOA	GRV	Gravimetric	Gravimetric
METOA	HPLC	High performance liquid chromotography	High performance liquid chromotography
METOA	HPLC-FD	HPLC - fluorescence detector	HPLC - fluorescence detector
METOA	HPLC-MS	HPLC - mass spectrometry	HPLC - mass spectrometry
METOA	HPLC-UV	HPLC - UV detector	HPLC - UV detector
METOA	IMA	Image analysis	Image analysis
METOA	IN SITU	in situ method for primary production measurements	in situ method for primary production measurements
METOA	INCUBATOR	incubator method for primary production measurements	incubator method for primary production measurements
METOA	INCUBAT_BPD	incubator method used to calculate the total primary production at differrent dephts	incubator method used to calculate the total primary production at differrent dephts
METOA	ISE	Ion selective electrode	Ion selective electrode
METOA	LOR	Lorenzen chlorophyll-a assay	Lorenzen chlorophyll-a assay
METOA	MIC-EM	Microscope - electron microscope	Microscope - electron microscope
METOA	MIC-LM	Microscope - light microscope	Microscope - light microscope
METOA	MS	Mass spectrometry	Mass spectrometry
METOA	OXE	Oxygen electrode	Oxygen electrode
METOA	PH	pH electrode	pH electrode
METOA	PSA	Particle Size Analyzer	Particle Size Analyzer
METOA	SMD	Smedes method	Smedes method
METOA	SPEC	Spectrophotometry	Spectrophotometry
METOA	SPEC-IR	Spectrophotometry - infrared	Spectrophotometry - infrared
METOA	THR	Thermometre / temperature device	Thermometre / temperature device
METOA	TITR	Titreringsmetod	Titration method
METOA	UTM	Utermöhl technique	Utermöhl technique
METOA	WINK	Bestämning av löst syre med hjälp av winkler-titrering	Determination of dissolved oxygen by winkler titration
METOA	WSV	Wet sieving	Wet sieving
METST	AWT	Ambient water temperature	Ambient water temperature
METST	DF20	Deep freeze -20 degrees Celsius	Deep freeze -20 degrees Celsius
METST	DF70	Deep freeze -70 degrees Celsius	Deep freeze -70 degrees Celsius
METST	FR	Frozen	Frozen
METST	LN	Liquid nitrogen	Liquid nitrogen
METST	NA	Not applicable	Not applicable
METST	RD	Room temperature in dark	Room temperature in dark
METST	RF	Refrigerator	Refrigerator
METST	RT	Room temperature	Room temperature
MPROG	BEEP	EU BEEP project in the Baltic (2002-2004)	EU BEEP project in the Baltic (2002-2004)
MPROG	BMP	HELCOM Baltic Monitoring Programme (BMP)	HELCOM Baltic Monitoring Programme (BMP)
MPROG	BONUS	EU BONUS project (including Beast and Barracuda)	EU BONUS project (including Beast and Barracuda)
MPROG	CEMP	OSPAR Coordinated Environmental Monitoring Programme (CEMP)	OSPAR Coordinated Environmental Monitoring Programme (CEMP)
MPROG	CMP	ICES Cooperative Monitoring Studies Programme (CMP)	ICES Cooperative Monitoring Studies Programme (CMP)
MPROG	COMB	HELCOM Cooperative Monitoring in the Baltic Marine Environment (COMBINE)	HELCOM Cooperative Monitoring in the Baltic Marine Environment (COMBINE)
MPROG	EMP	OSPAR Eutrophication Monitoring Programme (EMP)	OSPAR Eutrophication Monitoring Programme (EMP)
MPROG	JMP	OSPAR Joint Monitoring Programme (JMP)	OSPAR Joint Monitoring Programme (JMP)
MPROG	MMP	OSPAR Monitoring Master Plan (MMP) of the North Sea Task Force	OSPAR Monitoring Master Plan (MMP) of the North Sea Task Force
MPROG	NATL	National Monitoring Programme	National Monitoring Programme
MPROG	NMP	OSPAR Nutrients Monitoring Programme (NMP) of the Joint Assessment	OSPAR Nutrients Monitoring Programme (NMP) of the Joint Assessment
MPROG	PROJ	Project data	Project data
MPROG	RECIP	Recipientkontroll	Recipient control
MPROG	SRECIP	Samordnad Recipientkontroll	Coordinated Recipient control
MPROG	REG	Regionala data	Regional data
MPROG	WFD	Water Framework Directive	Water Framework Directive
MPROG	WGA	ICES Working Group activity	ICES Working Group activity
MSTAT	B	WFD B - Baseline/Reference station	WFD B - Baseline/Reference station
MSTAT	IH-H	Harbour where impact is antifoulants, fuel oil/petroleum products	Harbour where impact is antifoulants, fuel oil/petroleum products
MSTAT	IP-B	Where impact is fossil fuel burning/non-nuclear power plant	Where impact is fossil fuel burning/non-nuclear power plant
MSTAT	IH-C	Where impact is chemical/pharmaceutical industry	Where impact is chemical/pharmaceutical industry
MSTAT	ID	Impacted directly from disruptions such as dredging or trawling	Impacted directly from disruptions such as dredging or trawling
MSTAT	RP	WFD R(PHY) - Representative of general conditions for nutrients/organic matter	WFD R(PHY) - Representative of general conditions for nutrients/organic matter
MUNIT	%	percent	percent
MUNIT	% (dry weight)	percent of dry weight	percent of dry weight
MUNIT	C	degrees celcius	degrees celcius
MUNIT	cells/l	cells/litre	cells/litre
MUNIT	cm	centimeter	centimeter
MUNIT	d	day	day
MUNIT	g	gram	gram
MUNIT	g/anlyzed unit	gram per analyzed unit	gram per analyzed unit
MUNIT	g/g	gram/gram	gram/gram
MUNIT	g/kg	gram/kilogram	gram/kilogram
MUNIT	g/l	gram/liter	gram/liter
MUNIT	g/m2/day	gram/ square meter/ day	gram/ square meter/ day
MUNIT	hr	hour	hour
MUNIT	ind/analyzed unit	number of individuals counted per analyzed unit	number of individuals counted per analyzed unit
MUNIT	kg	kilogram	kilogram
MUNIT	kmE	kilometers East (fetch)	kilometers East (fetch)
MUNIT	kmN	kilometers North (fetch)	kilometers North (fetch)
